Country,"Total Votes","Work Favorite",Votes,"Personal Favorite",Votes
"United States",819,Laravel,219,Laravel,293
"Czech Republic",770,Nette,611,Nette,639
"United Kingdom",496,Laravel,138,Laravel,166
Germany,428,Symfony2,76,Laravel,100
France,343,Symfony2,149,Symfony2,136
Brazil,305,Laravel,100,Laravel,111
India,287,Laravel,62,Laravel,77
Ukraine,263,PHPixie,66,PHPixie,67
Indonesia,242,CodeIgniter,77,Laravel,64
"Russian Federation",235,"Yii 2",53,"Yii 2",72
Poland,216,Symfony2,52,Symfony2,46
Netherlands,209,Laravel,64,Laravel,84
Romania,183,Symfony2,49,Symfony2,48
Canada,138,Laravel,40,Laravel,52
Spain,131,Symfony2,47,Symfony2,43
Vietnam,112,Laravel,34,Laravel,43
Iran,101,Laravel,34,Laravel,35
Italy,100,Laravel,20,Laravel,25
Australia,99,Laravel,30,Laravel,39
Slovakia,94,Nette,48,Nette,47
Belgium,79,Laravel,26,Laravel,31
Serbia,78,Laravel,20,Laravel,29
Hungary,73,Laravel,17,Laravel,19
Turkey,71,Laravel,26,Laravel,28
Mexico,68,Laravel,22,Laravel,21
Bulgaria,66,Laravel,13,Laravel,20
Lithuania,65,Symfony2,22,Laravel,26
Thailand,58,CodeIgniter,14,Laravel,16
Pakistan,57,CodeIgniter,14,CodeIgniter,13
Philippines,54,Laravel,15,Laravel,16
Argentina,52,Laravel,16,Laravel,21
Bangladesh,51,Laravel,18,Laravel,16
Belarus,51,Symfony2,20,Symfony2,19
Portugal,50,Laravel,12,Laravel,17
